#名称,ChainNo,LinkNo,初期値
FINISHER_SPEED,763,1,0
FINISHER_MAJOR_VERSION,763,2,0
FINISHER_MINOR_VERSION,763,3,0
FINISHER_PATCH_VERSION,763,4,0
NVM_IPL_VERSION,763,5,0
VERSION_DOWN_INIT_ENABLE,763,6,0
IOT_EXIT_SENSOR_ACTIVE_ADJUST,763,7,0
MAX_SHEET_UNCOAT_80_STAPLE_50,763,8,50
MAX_SHEET_UNCOAT_90_STAPLE_50,763,9,50
MAX_SHEET_UNCOAT_105_STAPLE_50,763,10,30
MAX_SHEET_UNCOAT_128_STAPLE_50,763,11,25
MAX_SHEET_UNCOAT_150_STAPLE_50,763,12,20
MAX_SHEET_UNCOAT_176_STAPLE_50,763,13,15
MAX_SHEET_UNCOAT_220_STAPLE_50,763,14,10
MAX_SHEET_COAT_128_STAPLE_50,763,15,15
MAX_SHEET_COAT_150_STAPLE_50,763,16,10
MAX_SHEET_COAT_176_STAPLE_50,763,17,7
MAX_SHEET_COAT_220_STAPLE_50,763,18,5
SET_PITCH_SETTING1,763,19,-200
SET_PITCH_SETTING2,763,20,-200
READ_FLASHDATA_LOG_NUM,763,21,1
SERIAL_LOG_SELECT,763,22,0
TRANSITION_STATE,763,23,0
WAITING_MODULE_TRANSITION_STATE,763,24,0
ACTION_SEQUENCE_CONTROL,763,25,0
CAUSE_RESPONSE_UNKNOWN_PREPARATION_TIME,763,26,0
TRANSPORT_MOT_SPEED_V1,763,200,285
TRANSPORT_MOT_SPEED_V2,763,201,285
TRANSPORT_MOT_DOWN_START_T1,763,202,10
TRANSPORT_SOLENOID_PUSH_TIME_A,763,203,3
TRANSPORT_SOLENOID_PULL_TIME_B,763,204,3
TRANSPORT_SOLENOID_COUNT_C,763,205,0
NUM_STAPLE_SET,763,350,0
SHEET_WIDTH_LAST_EJECTED_SHEET,763,351,0
SHEET_LENGTH_LAST_EJECTED_SHEET,763,352,0
SHEET_WIDTH_MAXIMUM_SIZE_SHEET,763,353,0
SHEET_LENGTH_MAXIMUM_SIZE_SHEET,763,354,0
MIX_STACK,763,355,0
STACK_PAPER_LIMIT,763,356,0
STACKER_MOT_UP_COUNT,763,357,0
STACKER_MOT_DOWN_COUNT,763,358,0
ELEVATOR_MOT_PULSE_COUNT,763,359,0
LOW_PULSE_LIMIT,763,360,180
MIX_STACK_ENABLE,763,361,0
FULL_STACK_OFF_COUNT,763,362,149
MIX_FULL_STACK_POS_PULSE_LIMIT,763,363,756
L_Full_STACK_POS_PULSE_LIMIT,763,364,1512
S_Full_STACK_POS_PULSE_LIMIT,763,365,1632
FULL_STACK_POSITION1,763,366,59
FULL_STACK_POSITION2,763,367,500
CORNER_STAPLE_COUNT_N1,763,368,0
CORNER_STAPLE_MODE_COUNT_N2,763,369,65
STACKER_TRAY_DOWN_UN_STAPLE_TIMMING_T1 未使用,763,370,110
COMPILE_POSITION_H3,763,371,25
STACKER_MOT_LIFT_UP_COUNT_G1,763,372,35
STACKER_MOT_LIFT_UP_COUNT_G2,763,373,90
